experiment,head,class,precision,recall,f1_score,support
Single_entity_type,entity_type,MEDICAL_CONDITION_OR_CLINICAL_STATE,0.3333,0.6154,0.4324,13
Single_entity_type,entity_type,MEDICAL_SYMPTOM,0.8214,0.8846,0.8519,26
Single_entity_type,entity_type,MEDICATION_OR_DRUG,0.6667,0.6667,0.6667,12
Single_entity_type,entity_type,PERSONAL_AND_DAILY_LIFE,0.0,0.0,0.0,2
Single_entity_type,entity_type,PRODUCT_AND_SERVICE_MANAGEMENT,0.0,0.0,0.0,7
Single_entity_type,entity_type,REGULATORY_AND_ENVIRONMENTAL_CONTEXT,0.0,0.0,0.0,4
Single_entity_type,entity_type,SALES_AND_CUSTOMER_ENGAGEMENT,0.0,0.0,0.0,19
Single_entity_type,entity_type,TECHNOLOGY_AND_DIGITAL_INFRASTRUCTURE,0.0,0.0,0.0,17
Single_entity_type,entity_type,TREATMENT_OR_HEALTHCARE,0.5,0.1333,0.2105,15
Single_urgency,urgency,CRITICAL,0.0,0.0,0.0,2
Single_urgency,urgency,HIGH,0.1429,0.1111,0.125,18
Single_urgency,urgency,LOW,0.5078,0.4887,0.4981,133
Single_urgency,urgency,MEDIUM,0.5907,0.6264,0.608,182
Single_emotion,emotion,ANGER,0.2759,0.381,0.32,21
Single_emotion,emotion,DISGUST,0.381,0.3333,0.3556,24
Single_emotion,emotion,FEAR,0.2857,0.25,0.2667,24
Single_emotion,emotion,JOY,0.4348,0.3704,0.4,27
Single_emotion,emotion,NEUTRAL,0.2083,0.2778,0.2381,18
Single_emotion,emotion,SADNESS,0.1714,0.24,0.2,25
Single_emotion,emotion,SURPRISE,0.5714,0.1905,0.2857,21
A_No_Balancing,domain,FINANCIAL,1.0,1.0,1.0,263
A_No_Balancing,domain,GENERAL,1.0,1.0,1.0,80
A_No_Balancing,domain,MEDICAL,1.0,1.0,1.0,72
A_No_Balancing,subdomain,GENERAL_TOPIC,0.6591,0.8056,0.725,36
A_No_Balancing,subdomain,HEALTHCARE,0.2537,0.5231,0.3417,65
A_No_Balancing,subdomain,INDUSTRIAL_GOODS,0.2846,0.3889,0.3286,90
A_No_Balancing,subdomain,MEDICAL_SPECIALTY,0.75,0.5833,0.6562,36
A_No_Balancing,subdomain,TECHNOLOGY,0.0,0.0,0.0,108
A_No_Balancing,subdomain,USER_INTERACTION_TYPE,1.0,1.0,1.0,80
A_No_Balancing,intent,BUSINESS_OPERATIONS_AND_HEALTH,0.1429,0.0345,0.0556,29
A_No_Balancing,intent,BUSINESS_STRATEGY_AND_PROJECT_PLANNING,0.1806,0.4815,0.2626,27
A_No_Balancing,intent,COMMUNICATION_EMAIL_CALL_AND_CONTACTS,0.35,0.3889,0.3684,18
A_No_Balancing,intent,FINANCIAL_OPERATIONS_RISK_AND_COMPLIANCE,0.0,0.0,0.0,37
A_No_Balancing,intent,FINANCIAL_PERFORMANCE_AND_SEGMENT_ANALYSIS,0.2963,0.3556,0.3232,45
A_No_Balancing,intent,FINANCIAL_REPORTING_AND_OUTLOOK,0.2809,0.431,0.3401,58
A_No_Balancing,intent,GENERAL_ASSISTANCE_AND_QA,0.5652,0.3611,0.4407,36
A_No_Balancing,intent,MARKET_AND_COMPETITIVE_OUTLOOK,0.0,0.0,0.0,14
A_No_Balancing,intent,MEDIA_ENTERTAINMENT_AND_UTILITY,0.875,0.7,0.7778,40
A_No_Balancing,intent,MEDICAL_ADVICE_AND_TREATMENT,0.75,0.6857,0.7164,35
A_No_Balancing,intent,MEDICAL_SYMPTOM_AND_CONDITION,0.8636,0.7917,0.8261,24
A_No_Balancing,intent,MEDICATION_DIAGNOSTICS_AND_CLINICAL_RESEARCH,0.2903,0.5625,0.383,16
A_No_Balancing,intent,PRODUCT_AND_TECHNOLOGY_MANAGEMENT,0.0,0.0,0.0,19
A_No_Balancing,intent,TIME_LOCATION_TRAVEL_AND_LOGISTICS,0.4643,0.7647,0.5778,17
A_No_Balancing,entity_type,BUSINESS_GOVERNANCE_AND_RELATIONS,0.0,0.0,0.0,9
A_No_Balancing,entity_type,BUSINESS_OPERATIONS_AND_LOGISTICS,0.0,0.0,0.0,27
A_No_Balancing,entity_type,COMMUNICATION_AND_INTERACTION,1.0,0.3846,0.5556,13
A_No_Balancing,entity_type,CORPORATE_FINANCIAL_PERFORMANCE,0.0,0.0,0.0,18
A_No_Balancing,entity_type,DIAGNOSTIC_TEST_OR_RESULT,0.4,0.4444,0.4211,9
A_No_Balancing,entity_type,ENTERTAINMENT_AND_MEDIA,1.0,0.7,0.8235,10
A_No_Balancing,entity_type,FINANCIAL_METRICS_DETAIL,0.311,0.75,0.4397,68
A_No_Balancing,entity_type,FINANCIAL_STRATEGY_AND_PLANNING,0.2281,0.3514,0.2766,37
A_No_Balancing,entity_type,GENERAL_BUSINESS_ADMINISTRATION,0.5882,0.3571,0.4444,28
A_No_Balancing,entity_type,GENERAL_INFORMATION_AND_MISCELLANEOUS,0.3919,0.6744,0.4957,43
A_No_Balancing,entity_type,MARKET_AND_INDUSTRY_ANALYSIS,0.0,0.0,0.0,34
A_No_Balancing,entity_type,MEDICAL_CONDITION_OR_CLINICAL_STATE,0.2727,0.4615,0.3429,13
A_No_Balancing,entity_type,MEDICAL_SYMPTOM,0.8,0.7692,0.7843,26
A_No_Balancing,entity_type,MEDICATION_OR_DRUG,0.5385,0.5833,0.56,12
A_No_Balancing,entity_type,PERSONAL_AND_DAILY_LIFE,0.0,0.0,0.0,2
A_No_Balancing,entity_type,PRODUCT_AND_SERVICE_MANAGEMENT,0.0,0.0,0.0,7
A_No_Balancing,entity_type,REGULATORY_AND_ENVIRONMENTAL_CONTEXT,0.0,0.0,0.0,4
A_No_Balancing,entity_type,SALES_AND_CUSTOMER_ENGAGEMENT,0.0,0.0,0.0,19
A_No_Balancing,entity_type,TECHNOLOGY_AND_DIGITAL_INFRASTRUCTURE,0.0,0.0,0.0,17
A_No_Balancing,entity_type,TREATMENT_OR_HEALTHCARE,1.0,0.2667,0.4211,15
A_No_Balancing,urgency,CRITICAL,0.0,0.0,0.0,2
A_No_Balancing,urgency,HIGH,0.1667,0.0556,0.0833,18
A_No_Balancing,urgency,LOW,0.5229,0.6015,0.5594,133
A_No_Balancing,urgency,MEDIUM,0.6193,0.5989,0.6089,182
A_No_Balancing,emotion,ANGER,1.0,0.0952,0.1739,21
A_No_Balancing,emotion,DISGUST,0.3158,0.25,0.2791,24
A_No_Balancing,emotion,FEAR,0.5263,0.4167,0.4651,24
A_No_Balancing,emotion,JOY,0.2885,0.5556,0.3797,27
A_No_Balancing,emotion,NEUTRAL,0.25,0.1667,0.2,18
A_No_Balancing,emotion,SADNESS,0.2381,0.2,0.2174,25
A_No_Balancing,emotion,SURPRISE,0.2857,0.4762,0.3571,21
B_Weighted_Loss_Only,domain,FINANCIAL,1.0,1.0,1.0,263
B_Weighted_Loss_Only,domain,GENERAL,1.0,1.0,1.0,80
B_Weighted_Loss_Only,domain,MEDICAL,1.0,1.0,1.0,72
B_Weighted_Loss_Only,subdomain,GENERAL_TOPIC,0.5882,0.8333,0.6897,36
B_Weighted_Loss_Only,subdomain,HEALTHCARE,0.2353,0.3692,0.2874,65
B_Weighted_Loss_Only,subdomain,INDUSTRIAL_GOODS,0.3208,0.5667,0.4096,90
B_Weighted_Loss_Only,subdomain,MEDICAL_SPECIALTY,0.7143,0.4167,0.5263,36
B_Weighted_Loss_Only,subdomain,TECHNOLOGY,0.0,0.0,0.0,108
B_Weighted_Loss_Only,subdomain,USER_INTERACTION_TYPE,1.0,1.0,1.0,80
B_Weighted_Loss_Only,intent,BUSINESS_OPERATIONS_AND_HEALTH,0.1327,0.4483,0.2047,29
B_Weighted_Loss_Only,intent,BUSINESS_STRATEGY_AND_PROJECT_PLANNING,0.1364,0.1111,0.1224,27
B_Weighted_Loss_Only,intent,COMMUNICATION_EMAIL_CALL_AND_CONTACTS,0.2609,0.3333,0.2927,18
