Frame Index,Approximate Time (seconds),Approximate Time (milliseconds)
806,16.12,16120.000000000002
807,16.14,16140.0
808,16.16,16160.0
809,16.18,16180.0
810,16.2,16200.0
811,16.22,16219.999999999998
812,16.240000000000002,16240.000000000002
813,16.26,16260.000000000002
814,16.28,16280.000000000002
815,16.3,16300.0
816,16.32,16320.0
817,16.34,16340.0
818,16.36,16360.0
819,16.38,16379.999999999998
820,16.4,16400.0
821,16.42,16420.0
822,16.44,16440.0
823,16.46,16460.0
824,16.48,16480.0
825,16.5,16500.0
826,16.52,16520.0
827,16.54,16540.0
828,16.56,16560.0
829,16.580000000000002,16580.000000000004
830,16.6,16600.0
831,16.62,16620.0
832,16.64,16640.0
833,16.66,16660.0
834,16.68,16680.0
835,16.7,16700.0
836,16.72,16720.0
837,16.740000000000002,16740.000000000004
838,16.76,16760.0
839,16.78,16780.0
840,16.8,16800.0
841,16.82,16820.0
842,16.84,16840.0
843,16.86,16860.0
844,16.88,16880.0
845,16.9,16900.0
846,16.92,16920.0
847,16.94,16940.0
848,16.96,16960.0
849,16.98,16980.0
850,17.0,17000.0
851,17.02,17020.0
852,17.04,17040.0
853,17.06,17060.0
854,17.080000000000002,17080.000000000004
855,17.1,17100.0
856,17.12,17120.0
857,17.14,17140.0
858,17.16,17160.0
859,17.18,17180.0
860,17.2,17200.0
861,17.22,17220.0
862,17.240000000000002,17240.000000000004
863,17.26,17260.0
864,17.28,17280.0
865,17.3,17300.0
866,17.32,17320.0
867,17.34,17340.0
868,17.36,17360.0
869,17.38,17380.0
870,17.400000000000002,17400.000000000004
871,17.42,17420.0
872,17.44,17440.0
873,17.46,17460.0
874,17.48,17480.0
875,17.5,17500.0
876,17.52,17520.0
877,17.54,17540.0
878,17.56,17560.0
879,17.580000000000002,17580.000000000004
880,17.6,17600.0
881,17.62,17620.0
882,17.64,17640.0
883,17.66,17660.0
884,17.68,17680.0
885,17.7,17700.0
886,17.72,17720.0
887,17.740000000000002,17740.000000000004
888,17.76,17760.0
889,17.78,17780.0
890,17.8,17800.0
891,17.82,17820.0
892,17.84,17840.0
893,17.86,17860.0
894,17.88,17880.0
895,17.900000000000002,17900.000000000004
896,17.92,17920.0
897,17.94,17940.0
898,17.96,17960.0
899,17.98,17980.0
900,18.0,18000.0
901,18.02,18020.0
902,18.04,18040.0
903,18.06,18060.0
904,18.080000000000002,18080.000000000004
905,18.1,18100.0
906,18.12,18120.0
907,18.14,18140.0
908,18.16,18160.0
909,18.18,18180.0
910,18.2,18200.0
911,18.22,18220.0
912,18.240000000000002,18240.000000000004
913,18.26,18260.0
914,18.28,18280.0
915,18.3,18300.0
916,18.32,18320.0
917,18.34,18340.0
918,18.36,18360.0
919,18.38,18380.0
920,18.400000000000002,18400.000000000004
921,18.42,18420.0
922,18.44,18440.0
923,18.46,18460.0
924,18.48,18480.0
925,18.5,18500.0
926,18.52,18520.0
927,18.54,18540.0
928,18.56,18560.0
929,18.580000000000002,18580.000000000004
930,18.6,18600.0
931,18.62,18620.0
932,18.64,18640.0
933,18.66,18660.0
934,18.68,18680.0
935,18.7,18700.0
936,18.72,18720.0
937,18.740000000000002,18740.000000000004
938,18.76,18760.0
939,18.78,18780.0
940,18.8,18800.0
941,18.82,18820.0
942,18.84,18840.0
943,18.86,18860.0
944,18.88,18880.0
945,18.900000000000002,18900.000000000004
